Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-07-12,W2NPPL0cw1,olwH9a4pKv,zPuQYDlxfB,Knee Raise,10,4.082336184920758,fake_id_397
2021-07-01,RM8Jldvg36,dFycDkJyHe,Jf9JQJu5qI,Dumbbell Shoulder Raise,14,5.443114913227677,fake_id_399
2021-03-24,TAeoS6xkDG,xPS7RzoOGm,zgz85BzGTP,Bent Over Barbell Row,8,27.669167475574024,fake_id_394
2021-04-13,4YGjgnynpi,djuvlRHUvb,ZrkSmtwIdC,Dumbbell Rear Delt Raise,10,11.339822735890994,fake_id_396
2021-06-29,4ANPWXAg8j,BN1DjSE1Zi,cYms1MVCiw,Romanian Deadlift,15,47.62725549074217,fake_id_434
2021-09-27,hAFpTSxCXx,erjFOF21dc,kROrEghCKI,Reverse Barbell Curl,15,13.607787283069193,fake_id_440
2021-09-09,Ryl6bLU11Q,otjt26R0oL,D1hjw7k6oq,Barbell Shoulder Press,10,43.091326396385774,fake_id_396
2021-03-20,ljgrPScP03,EAjKaB5zWy,hNEXUHHBZ3,Dumbbell Kickbacks,8,9.071858188712795,fake_id_400
2021-08-16,68FY2B8Lqi,gALxFFZcI4,07Mdkr6tcn,Dumbbell Decline Bench Press,14,11.339822735890994,fake_id_418
2021-08-01,fu1DwvJnWB,djuvlRHUvb,yTdCAo2w1p,Dumbbell Rear Delt Raise,12,11.339822735890994,fake_id_392
2021-11-09,BdB9FJ0uQz,djuvlRHUvb,ktgueC5IbQ,Dumbbell Rear Delt Raise,13,10.205840462301895,fake_id_412
2021-04-07,4JCOAsHlI5,9q2Cdgm0FM,JH7Tq2tFko,Machine Leg Press,12,149.68566011376112,fake_id_408
2021-04-30,kDtzyPClF1,fxXbcxfkLt,R7B3nZ1DAo,Exercise Ball Crunch,24,0.0,fake_id_415
2021-11-09,LqijJnBCR7,UQBXLgsfXN,XmNIxhYh1P,Dumbbell Shrug,15,9.071858188712795,fake_id_395
2021-02-25,PVeYZn07Ir,nNMm3ywt6H,gFTVFUDoLD,Pike Push Up,15,0.0,fake_id_408
2021-03-01,OWiixPb6dJ,fxXbcxfkLt,hobrLWotXq,Exercise Ball Crunch,23,0.0,fake_id_438
2021-02-15,5ZUHhODNX6,G1mxtZtEs5,EVf7GksHdN,Back Squat,2,156.4895537552957,fake_id_430
2021-06-29,irftsS3XAJ,otjt26R0oL,zGddCEm1cc,Barbell Shoulder Press,8,56.69911367945497,fake_id_430
2021-09-25,ydJBrM0W68,aIzmfLklht,ubqrvC7NyD,Dumbbell Step Up,14,7.937875915123695,fake_id_427
2021-02-25,B6wDNizE4F,dFycDkJyHe,2G0qd3cSwI,Dumbbell Shoulder Raise,13,2.267964547178199,fake_id_414
2021-10-21,PMNMVpANJk,UQBXLgsfXN,UXfFy3EStc,Dumbbell Shrug,15,20.41168092460379,fake_id_403
2021-04-22,foX7plkorW,djuvlRHUvb,YGXyvflpPp,Dumbbell Rear Delt Raise,13,10.205840462301895,fake_id_419
2021-09-27,uaermE2sFT,BN1DjSE1Zi,ASp3FQmewh,Romanian Deadlift,6,30.0,fake_id_398
2021-02-23,TifAI85gIo,omtypRFVyt,qS8p0Kk4TT,Power Clean,5,30.0,fake_id_398
2021-04-14,4k7pH7mrhh,Gx6Z2fevPD,bGv5jJ4PSM,Incline Dumbbell Row,10,4.535929094356398,fake_id_409
2021-08-19,FdLG1F0kW6,9fptvki4pW,MSGZF1th2y,Barbell Hip Thrust,12,45.35929094356398,fake_id_432
